n,graph_id,graph_name,setting,init_default,mutation_default,fitness_default,trial,seed,success,longest_path
20,1,Random_n20_1,zero,0.0,0.0,0.0,1,1000,0,12
20,1,Random_n20_1,zero,0.0,0.0,0.0,2,1001,1,20
20,1,Random_n20_1,zero,0.0,0.0,0.0,3,1002,1,20
20,1,Random_n20_1,zero,0.0,0.0,0.0,4,1003,1,20
20,1,Random_n20_1,zero,0.0,0.0,0.0,5,1004,1,20
20,1,Random_n20_1,zero,0.0,0.0,0.0,6,1005,1,20
20,1,Random_n20_1,zero,0.0,0.0,0.0,7,1006,1,20
20,1,Random_n20_1,zero,0.0,0.0,0.0,8,1007,1,20
20,1,Random_n20_1,zero,0.0,0.0,0.0,9,1008,1,20
20,1,Random_n20_1,zero,0.0,0.0,0.0,10,1009,1,20
20,1,Random_n20_1,mixed,0.5,0.5,0.0,1,1000,1,20
20,1,Random_n20_1,mixed,0.5,0.5,0.0,2,1001,1,20
20,1,Random_n20_1,mixed,0.5,0.5,0.0,3,1002,1,20
20,1,Random_n20_1,mixed,0.5,0.5,0.0,4,1003,1,20
20,1,Random_n20_1,mixed,0.5,0.5,0.0,5,1004,0,20
20,1,Random_n20_1,mixed,0.5,0.5,0.0,6,1005,1,20
20,1,Random_n20_1,mixed,0.5,0.5,0.0,7,1006,1,20
20,1,Random_n20_1,mixed,0.5,0.5,0.0,8,1007,1,20
20,1,Random_n20_1,mixed,0.5,0.5,0.0,9,1008,1,20
20,1,Random_n20_1,mixed,0.5,0.5,0.0,10,1009,1,20
20,2,Random_n20_2,zero,0.0,0.0,0.0,1,1100,1,20
20,2,Random_n20_2,zero,0.0,0.0,0.0,2,1101,1,20
20,2,Random_n20_2,zero,0.0,0.0,0.0,3,1102,1,20
20,2,Random_n20_2,zero,0.0,0.0,0.0,4,1103,1,20
20,2,Random_n20_2,zero,0.0,0.0,0.0,5,1104,1,20
20,2,Random_n20_2,zero,0.0,0.0,0.0,6,1105,1,20
20,2,Random_n20_2,zero,0.0,0.0,0.0,7,1106,1,20
20,2,Random_n20_2,zero,0.0,0.0,0.0,8,1107,1,20
20,2,Random_n20_2,zero,0.0,0.0,0.0,9,1108,1,20
20,2,Random_n20_2,zero,0.0,0.0,0.0,10,1109,1,20
20,2,Random_n20_2,mixed,0.5,0.5,0.0,1,1100,1,20
20,2,Random_n20_2,mixed,0.5,0.5,0.0,2,1101,1,20
20,2,Random_n20_2,mixed,0.5,0.5,0.0,3,1102,1,20
20,2,Random_n20_2,mixed,0.5,0.5,0.0,4,1103,1,20
20,2,Random_n20_2,mixed,0.5,0.5,0.0,5,1104,1,20
20,2,Random_n20_2,mixed,0.5,0.5,0.0,6,1105,1,20
20,2,Random_n20_2,mixed,0.5,0.5,0.0,7,1106,1,20
20,2,Random_n20_2,mixed,0.5,0.5,0.0,8,1107,1,20
20,2,Random_n20_2,mixed,0.5,0.5,0.0,9,1108,1,20
20,2,Random_n20_2,mixed,0.5,0.5,0.0,10,1109,1,20
20,3,Random_n20_3,zero,0.0,0.0,0.0,1,1200,1,20
20,3,Random_n20_3,zero,0.0,0.0,0.0,2,1201,0,20
20,3,Random_n20_3,zero,0.0,0.0,0.0,3,1202,1,20
20,3,Random_n20_3,zero,0.0,0.0,0.0,4,1203,1,20
20,3,Random_n20_3,zero,0.0,0.0,0.0,5,1204,1,20
20,3,Random_n20_3,zero,0.0,0.0,0.0,6,1205,1,20
20,3,Random_n20_3,zero,0.0,0.0,0.0,7,1206,1,20
20,3,Random_n20_3,zero,0.0,0.0,0.0,8,1207,1,20
20,3,Random_n20_3,zero,0.0,0.0,0.0,9,1208,1,20
20,3,Random_n20_3,zero,0.0,0.0,0.0,10,1209,1,20
20,3,Random_n20_3,mixed,0.5,0.5,0.0,1,1200,1,20
20,3,Random_n20_3,mixed,0.5,0.5,0.0,2,1201,1,20
20,3,Random_n20_3,mixed,0.5,0.5,0.0,3,1202,0,10
20,3,Random_n20_3,mixed,0.5,0.5,0.0,4,1203,1,20
20,3,Random_n20_3,mixed,0.5,0.5,0.0,5,1204,0,19
20,3,Random_n20_3,mixed,0.5,0.5,0.0,6,1205,1,20
20,3,Random_n20_3,mixed,0.5,0.5,0.0,7,1206,1,20
20,3,Random_n20_3,mixed,0.5,0.5,0.0,8,1207,1,20
20,3,Random_n20_3,mixed,0.5,0.5,0.0,9,1208,1,20
20,3,Random_n20_3,mixed,0.5,0.5,0.0,10,1209,1,20
20,4,Random_n20_4,zero,0.0,0.0,0.0,1,1300,1,20
20,4,Random_n20_4,zero,0.0,0.0,0.0,2,1301,1,20
20,4,Random_n20_4,zero,0.0,0.0,0.0,3,1302,1,20
20,4,Random_n20_4,zero,0.0,0.0,0.0,4,1303,1,20
20,4,Random_n20_4,zero,0.0,0.0,0.0,5,1304,1,20
20,4,Random_n20_4,zero,0.0,0.0,0.0,6,1305,1,20
20,4,Random_n20_4,zero,0.0,0.0,0.0,7,1306,1,20
20,4,Random_n20_4,zero,0.0,0.0,0.0,8,1307,1,20
20,4,Random_n20_4,zero,0.0,0.0,0.0,9,1308,1,20
20,4,Random_n20_4,zero,0.0,0.0,0.0,10,1309,1,20
20,4,Random_n20_4,mixed,0.5,0.5,0.0,1,1300,1,20
20,4,Random_n20_4,mixed,0.5,0.5,0.0,2,1301,1,20
20,4,Random_n20_4,mixed,0.5,0.5,0.0,3,1302,1,20
20,4,Random_n20_4,mixed,0.5,0.5,0.0,4,1303,1,20
20,4,Random_n20_4,mixed,0.5,0.5,0.0,5,1304,1,20
20,4,Random_n20_4,mixed,0.5,0.5,0.0,6,1305,1,20
20,4,Random_n20_4,mixed,0.5,0.5,0.0,7,1306,1,20
20,4,Random_n20_4,mixed,0.5,0.5,0.0,8,1307,1,20
20,4,Random_n20_4,mixed,0.5,0.5,0.0,9,1308,1,20
20,4,Random_n20_4,mixed,0.5,0.5,0.0,10,1309,1,20
20,5,Random_n20_5,zero,0.0,0.0,0.0,1,1400,1,20
20,5,Random_n20_5,zero,0.0,0.0,0.0,2,1401,1,20
20,5,Random_n20_5,zero,0.0,0.0,0.0,3,1402,1,20
20,5,Random_n20_5,zero,0.0,0.0,0.0,4,1403,1,20
20,5,Random_n20_5,zero,0.0,0.0,0.0,5,1404,1,20
20,5,Random_n20_5,zero,0.0,0.0,0.0,6,1405,1,20
20,5,Random_n20_5,zero,0.0,0.0,0.0,7,1406,1,20
20,5,Random_n20_5,zero,0.0,0.0,0.0,8,1407,1,20
20,5,Random_n20_5,zero,0.0,0.0,0.0,9,1408,0,18
20,5,Random_n20_5,zero,0.0,0.0,0.0,10,1409,1,20
20,5,Random_n20_5,mixed,0.5,0.5,0.0,1,1400,1,20
20,5,Random_n20_5,mixed,0.5,0.5,0.0,2,1401,1,20
20,5,Random_n20_5,mixed,0.5,0.5,0.0,3,1402,1,20
20,5,Random_n20_5,mixed,0.5,0.5,0.0,4,1403,1,20
20,5,Random_n20_5,mixed,0.5,0.5,0.0,5,1404,1,20
20,5,Random_n20_5,mixed,0.5,0.5,0.0,6,1405,1,20
20,5,Random_n20_5,mixed,0.5,0.5,0.0,7,1406,1,20
20,5,Random_n20_5,mixed,0.5,0.5,0.0,8,1407,1,20
20,5,Random_n20_5,mixed,0.5,0.5,0.0,9,1408,0,18
